ID,COLLECTION,BASE_ID,VERSION,NAME,ACC
12949,UNVALIDATED,UN0570,1,MEIS1::DRGX,O00470
12950,UNVALIDATED,UN0571,1,MEIS1::EVX1,O00470
12950,UNVALIDATED,UN0571,1,MEIS1::EVX1,P49640
12951,UNVALIDATED,UN0572,1,MGA::DLX2,Q07687
12951,UNVALIDATED,UN0572,1,MGA::DLX2,Q8IWI9
12952,UNVALIDATED,UN0573,1,MGA::DLX3,O60479
12952,UNVALIDATED,UN0573,1,MGA::DLX3,Q8IWI9
12953,UNVALIDATED,UN0574,1,MYBL1::TBX21,P10243
12953,UNVALIDATED,UN0574,1,MYBL1::TBX21,Q9UL17
12954,UNVALIDATED,UN0575,1,PITX1::HES7,P78337
12954,UNVALIDATED,UN0575,1,PITX1::HES7,Q9BYE0
12955,UNVALIDATED,UN0576,1,PITX1::TBX21,P78337
12955,UNVALIDATED,UN0576,1,PITX1::TBX21,Q9UL17
